Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type
0,0,1,0,0,0,0,0,2,59,202500.0,31.40926918417216,1.6317925761651506,Working,Higher education,Married,House / apartment,Other
0,1,1,0,0,0,0,1,3,59,130500.0,38.74685996290136,15.222762958856102,Working,Secondary / secondary special,Married,House / apartment,Cooking staff
1,0,0,1,1,0,0,1,3,6,180000.0,39.4285988076415,2.680410959841749,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff
1,0,1,0,0,0,0,1,2,1,99000.0,40.20890230463322,0.7939930320266672,Working,Secondary / secondary special,Separated,House / apartment,Laborers
0,0,1,0,0,0,0,3,5,42,179100.0,36.255364586541816,5.002156101768003,State servant,Secondary / secondary special,Married,House / apartment,Cooking staff
1,0,1,1,1,0,0,0,1,6,270000.0,36.6414094745272,2.713265843925611,Working,Secondary / secondary special,Separated,House / apartment,Laborers
1,0,1,0,0,0,0,1,3,1,135000.0,50.4349849757353,3.581182365140968,Working,Secondary / secondary special,Married,House / apartment,Drivers
0,0,0,0,0,0,0,1,3,21,112500.0,32.975351992169585,7.679829154602764,Working,Secondary / secondary special,Married,House / apartment,Sales staff
0,0,1,0,0,0,0,0,1,1,202500.0,51.03458661026578,3.0116977076873583,Working,Secondary / secondary special,Widow,House / apartment,Sales staff
0,0,1,0,0,0,1,0,1,44,112500.0,56.23113410952997,0.0,Pensioner,Higher education,Widow,House / apartment,Other
0,0,1,0,0,1,0,1,3,45,135000.0,29.473568930231284,6.012443787346762,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Other
0,1,1,0,0,0,0,0,2,11,225000.0,28.630293572078823,2.680410959841749,Commercial associate,Higher education,Married,House / apartment,Other
1,0,1,0,0,0,1,0,2,9,63000.0,64.95410583379535,0.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Other
1,1,1,1,1,0,0,0,2,23,112500.0,58.69525041581963,1.2895542002915872,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers
0,0,1,0,0,0,0,0,1,46,112500.0,49.263160776744215,1.5195383888786218,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Security staff
0,0,1,0,1,0,0,0,2,11,157500.0,47.64231982860702,3.1321656159948525,Working,Secondary / secondary special,Married,Municipal apartment,Other
1,0,1,0,0,0,0,0,2,31,225000.0,50.952449400056125,0.36687953893646,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers
0,0,1,0,0,1,0,1,2,22,180000.0,45.32331259368775,6.762630307261614,Working,Higher education,Separated,House / apartment,Other
1,1,1,1,0,0,0,1,3,41,135000.0,31.165595460550183,2.1273537444300703,Commercial associate,Higher education,Married,House / apartment,Other
0,0,1,0,0,0,0,0,2,38,184500.0,36.51546575220573,7.0993928691212,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers
1,1,0,0,1,0,0,0,2,13,225000.0,32.63585152330301,2.699576308890669,Working,Higher education,Married,House / apartment,Other
1,0,1,0,0,0,0,0,2,4,225000.0,53.055161981423296,1.084211174767449,Working,Secondary / secondary special,Married,House / apartment,Drivers
0,0,1,0,0,0,0,0,2,39,180000.0,47.6012512235022,2.431261422205795,Working,Secondary / secondary special,Married,House / apartment,Laborers
0,0,1,0,0,0,0,0,2,15,135000.0,60.54059973852988,23.247568396339418,Working,Higher education,Married,House / apartment,Private service staff
0,1,0,1,1,0,0,0,2,3,135000.0,56.10792829421548,20.87380302128038,Working,Secondary / secondary special,Married,House / apartment,Managers
0,0,0,0,1,0,0,0,1,4,193500.0,48.80593030657714,0.55031930840469,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers
0,0,1,0,0,0,0,0,2,11,157500.0,50.29808962538587,4.093170975447819,Commercial associate,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff
